Statistical Region,KP Tracker ID,KP Tracker District ,KP Tracker Subcounty,KP Tracker Service outlet,KP Tracker Mechanism name,KP Tracker US Agency,DATIM ID,DHIS2 ID,DHIS2 District,DHIS2 Subcounty,DHIS2 HF Name,COP  Mechanism name ,IM ID,Agency,Period,Comment,IP Comment for action to be taken,PREP _CT Overall Total,PrEP_CT  Total Female,PrEP_CT  Total Male,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total,Positive Total,Negative Total,Other,"(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male","(15 - 19) Years, Female","(15 - 19) Years, Male","20-24 Years, Female","20-24 Years, Male","Female, 25 - 29 years","Male, 25 - 29 years","Female, 30-34 years","Male, 30-34 years","Female, 35-39 years","Male, 35-39 years","Female, 40 - 44 years","Male, 40 - 44 years","Female, 45 - 49 years","Male, 45 - 49 years","50+ Years, Female","50+ Years, Male",Total KP received PrEP_CT,"MSM, Male",Sub-total Transgender,"Sex Workers, Female",PWID,People in prisons and other enclosed settings (Incarcerated Population),Pregnant,Breast feeding,Health Facility,Community,Oral,Injectable,Other including Ring,Ring,EDV PREP,Adolescents and young women (10-24) years,Clients of sex workers,"Displaced persons (e.g., refugees) ",Fishing communities ,"Military and other uniformed services (including police, border guards, and security workers),Female ","Mobile Populations (e.g., migrant workers, truck drivers) ",Truck drivers,Non-injecting drug users,Discordant Couples,Other
South Central,nYpQROJrK2y,Wakiso District,Bussi Subcounty,Zzinga HC II,IDI_Masaka Wakiso Region,,Iv4KxNGPbrg,nYpQROJrK2y,Wakiso District,Bussi Subcounty,Zzinga Health Centre III,,,,Oct-Dec 2024,Site has outputs but not on DAPOTS list,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,62,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0
Busoga,O6TYEDR7sjP,Mayuge District,Baitambogwe Subcounty,Buluba Hospital,UPMB_LSD,,ozfMfl1CgsU,O6TYEDR7sjP,Mayuge District,Baitambogwe Subcounty,Buluba Hospital,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,109,32,77,4,5,8,14,10,15,5,9,2,11,1,15,,4,2,4,109,0,1,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,5,8,14,10,15,5,8,2,11,1,15,0,4,2,4,20,0,4,16,0,0,0,1,1,145,106,0,0,0,0,3,2,0,42,2,24,23,1,0,22
Bunyoro,o7OluoErEud,Hoima City,Hoima East Division,Hoima Police HC III,Baylor_Hoima Region,,StAQ7C17vR6,o7OluoErEud,Hoima City,Hoima East Division,Hoima Police HC III,Baylor_Hoima Region,81977,CDC,Oct-Dec 2024,,,174,123,51,44,4,64,18,13,11,2,8,,4,,2,,3,,1,174,0,6,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,42,4,61,18,13,11,2,8,0,3,0,2,0,3,0,1,61,1,0,59,1,0,3,5,0,192,177,0,0,0,0,51,39,0,0,1,2,10,0,0,0
Teso,O9q5mhryXaX,Ngora District,Ngora Town Council,Ngora HC IV,AIC_Soroti Region,,keS3rHXPh8f,O9q5mhryXaX,Ngora District,Ngora Town Council,Ngora HC IV,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,62,49,13,3,1,12,2,16,2,9,5,6,2,3,1,,,,,62,0,6,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,3,1,11,2,13,2,7,5,6,2,3,1,0,0,0,0,30,0,0,30,0,0,0,0,10,53,62,0,0,0,0,5,3,3,4,0,1,0,0,1,8
Tooro,oa2Jc3fTgtD,Kamwenge District,Busiriba Subcounty,Bunoga HC III,Baylor Fort Portal_Mubende Region,,vF1ktWheL1E,oa2Jc3fTgtD,Kamwenge District,Busiriba Subcounty,Bunoga HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,221,110,111,11,4,18,11,23,21,20,18,14,19,7,12,7,8,10,18,221,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,18,11,23,21,20,18,14,19,7,12,7,8,10,18,98,0,0,98,0,0,1,5,20,203,221,0,0,0,0,4,72,1,0,0,1,0,0,4,31
South Central,oBg69iZLKtq,Rakai District,Lwamaggwa Subcounty,Lwamaggwa Govt HC III,IDI_Masaka Wakiso Region,,fShk4sVA5ji,oBg69iZLKtq,Rakai District,Lwamaggwa Subcounty,Lwamaggwa Govt HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,101,52,49,14,,7,2,8,6,9,9,5,9,5,13,1,5,3,5,101,0,23,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,1,2,5,0,1,1,3,0,2,0,1,12,0,5,1,6,5,7,4,5,8,4,10,1,3,3,4,24,0,0,24,0,0,0,0,1,102,101,0,0,0,0,3,3,0,3,2,0,1,0,63,3
South Central,ODl6muHUdeG,Wakiso District,Kira Division,Zia Angelina HC II,UEC,,DKFibZBZgmM,ODl6muHUdeG,Wakiso District,Kira Division,Zia Angelina HC II,UEC,81974,CDC,Oct-Dec 2024,,,165,81,84,6,3,19,12,23,23,14,15,16,24,3,4,,1,,2,165,0,2,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,3,19,12,23,23,14,15,14,24,3,4,0,1,0,2,61,5,2,54,0,0,0,0,1,167,165,0,0,0,56,25,36,0,0,8,35,2,1,0,0
Lango,OeBKA5gCBXG,Apac District,Akere Division,Apac Hospital,JCRC_Kigezi Lango Region,,spiSNR6SuZz,OeBKA5gCBXG,Apac District,Akere Division,Apac Hospital,JCRC_Kigezi Lango Region,81997,USAID,Oct-Dec 2024,,,222,135,87,32,11,50,23,24,22,13,19,10,5,3,5,1,,2,2,222,0,38,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,6,2,1,7,2,0,1,1,0,2,0,0,0,0,17,10,44,21,23,15,11,19,9,4,3,3,1,0,2,2,51,0,0,28,23,0,6,3,5,218,222,0,0,0,0,0,1,0,23,0,27,0,3,12,1
Ankole,OEhMLFc4vaU,Bushenyi District,Kyamuhunga Town Council,Comboni Hospital,UPMB_LSD,,CzjWnorqJdq,OEhMLFc4vaU,Bushenyi District,Kyamuhunga Town Council,Comboni Hospital,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,38,22,16,6,3,5,5,7,4,2,,,2,1,2,,,1,,38,0,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,2,5,5,7,4,2,0,0,1,1,1,0,0,1,0,32,0,0,32,0,0,0,0,20,40,38,0,0,0,0,2,1,0,0,0,8,0,1,11,3
South Central,oFI3thMRN4h,Lwengo District,Lwengo Subcounty,Lwengo HC IV,IDI_Masaka Wakiso Region,,Rx4N1fR5hQb,oFI3thMRN4h,Lwengo District,Lwengo Subcounty,Lwengo HC IV,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,22,8,14,,,5,2,2,,,1,,3,1,1,,1,,6,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,1,0,3,1,1,0,1,0,6,7,0,0,7,0,0,0,0,1,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Ankole,oFMf9UXgoOr,Buhweju District,Nsiika Town Council,Nsiika HC IV,TASO_Ankole Acholi Region,,RxQiy1EofEA,oFMf9UXgoOr,Buhweju District,Nsiika Town Council,Nsiika HC IV,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,264,126,138,28,18,44,34,32,33,17,31,4,13,,4,1,4,,1,264,0,12,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,25,16,40,34,29,33,17,31,4,13,0,4,1,4,0,1,108,0,0,108,0,0,0,0,0,269,263,0,0,0,0,10,123,0,0,0,0,0,0,5,23
South Central,oHu9DJNgKaV,Rakai District,Kifamba Subcounty,Kifamba HC III,IDI_Masaka Wakiso Region,,ZZXypooYxos,oHu9DJNgKaV,Rakai District,Kifamba Subcounty,Kifamba HC III,,,,Oct-Dec 2024,Site has outputs but not on DAPOTS list,,37,18,19,1,1,6,2,2,2,2,8,1,3,,,6,2,,1,37,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,2,2,2,8,1,3,0,0,6,2,0,1,1,0,0,1,0,0,0,0,0,37,37,0,0,0,0,3,4,0,0,0,15,0,0,7,0
North Central,OiuyBahpmGI,Buikwe District,Njeru Central Division,Njeru Town Council HC III,WALTER REED_MUWRP,,o5KBlhy9qfZ,OiuyBahpmGI,Buikwe District,Njeru Central Division,Njeru Town Council HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,170,80,90,6,4,19,27,24,17,15,13,5,9,7,9,2,2,2,9,170,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,19,27,24,17,15,13,5,9,7,9,2,2,2,9,59,0,0,59,0,0,1,3,187,9,170,0,0,0,67,2,41,0,2,2,61,9,3,6,0
Lango,OjPZpAx86iC,Lira City,Lira East Division,Ngetta HC III,UPMB_LSD,,I3W8faZHgBx,OjPZpAx86iC,Lira City,Lira East Division,Ngetta HC III,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,43,20,23,3,4,4,6,6,1,5,1,1,4,,4,,1,1,2,43,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,6,1,5,1,1,4,0,4,0,1,1,2,23,1,0,22,0,0,0,0,40,10,44,0,0,0,1,2,18,0,0,0,3,1,2,1,0
North Central,olEYjGeLyZf,Luwero District,Bombo Town Council,Nakatonya HC III,WALTER REED_MUWRP,,FtG1fIbSLf9,olEYjGeLyZf,Luwero District,Bombo Town Council,Nakatonya HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,32,20,12,2,1,3,,6,8,2,1,5,1,1,1,1,,,,32,0,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,2,1,2,0,5,6,2,0,5,0,1,1,1,0,0,0,7,0,0,7,0,0,0,0,30,3,32,0,0,0,0,2,2,0,0,0,8,1,0,12,0
Tooro,OOJMUm6aMR4,Kasese District,Kitswamba Town Council,Kitswamba HC III,Baylor Fort Portal_Mubende Region,,E3zfsLfczv6,OOJMUm6aMR4,Kasese District,Kitswamba Town Council,Kitswamba HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,203,137,66,31,3,53,17,40,22,13,13,,7,,4,,,,,203,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,53,17,40,22,13,13,0,7,0,4,0,0,0,0,137,0,0,137,0,0,0,2,0,204,203,0,0,0,0,0,66,0,0,0,0,0,0,0,0
South Central,OpHCVPDEaBb,Masaka District,Bukakata Subcounty,Lambu HC II,UEC,,IEpKmylxHZl,OpHCVPDEaBb,Masaka District,Bukakata Subcounty,Lambu HC II,UEC,81974,CDC,Oct-Dec 2024,,,251,137,114,8,8,44,28,53,34,24,23,8,9,,9,,1,,2,251,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,44,28,53,34,24,23,8,9,0,9,0,1,0,2,100,0,0,100,0,0,0,0,392,35,249,0,0,0,0,1,4,0,307,0,0,0,13,3,0
South Central,OQnJUNl390Z,Rakai District,Ddwaniro Subcounty,Buyamba HC III,IDI_Masaka Wakiso Region,,qDsWA9rCk0v,OQnJUNl390Z,Rakai District,Ddwaniro Subcounty,Buyamba HC III,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,80,28,52,2,7,13,8,1,13,6,3,2,7,1,7,1,1,2,6,80,0,3,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,7,12,8,1,12,5,3,2,7,1,7,1,1,2,6,11,0,0,11,0,0,0,0,1,79,80,0,0,0,12,5,15,0,5,0,3,0,0,12,17
Teso,oRHreBW5Tyr,Amuria District,Amuria Town Council,Amuria Hospital,AIC_Soroti Region,,CaGjhbitWT4,oRHreBW5Tyr,Amuria District,Amuria Town Council,Amuria Hospital,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,2,2,0,1,,,,,,,,1,,,,,,,,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
North Central,OtHSbYGRmmu,Nakaseke District,Kiwoko Town Council,Kiwoko Hospital,UPMB,,jvefOrsd9g7,OtHSbYGRmmu,Nakaseke District,Kiwoko Town Council,Kiwoko Hospital,UPMB,84980,CDC,Oct-Dec 2024,,,69,26,43,3,7,6,10,8,6,3,8,3,5,3,1,,3,,3,69,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,10,8,6,3,8,3,5,3,1,0,3,0,3,19,0,0,19,0,0,0,0,71,0,69,0,0,0,0,1,22,0,0,0,10,0,0,14,1
South Central,oTXa14pgh8f,Kalangala District,Kalangala Town Council,Kalangala HC IV,IDI_Masaka Wakiso Region,,BQATmsVM4ie,oTXa14pgh8f,Kalangala District,Kalangala Town Council,Kalangala HC IV,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,99,43,56,2,1,14,8,12,12,5,10,5,10,4,6,1,6,,3,99,0,4,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,13,7,11,12,5,10,5,10,4,6,1,5,0,3,64,0,0,64,0,0,81,0,146,257,99,0,0,0,16,0,25,0,206,0,3,0,0,19,1
Acholi,oUcwyNtRzrb,Agago District,Patongo Town Council,Patongo HC III,TASO_Ankole Acholi Region,,yqMIrpBNXnq,oUcwyNtRzrb,Agago District,Patongo Town Council,Patongo HC IV,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,169,125,44,8,1,21,12,38,11,39,8,14,5,5,3,,2,,2,169,0,24,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,1,3,0,3,0,5,1,0,2,0,2,6,1,19,12,35,10,36,8,11,5,0,2,0,0,0,0,92,0,0,92,0,0,1,5,29,142,168,0,0,0,14,8,32,0,0,0,5,0,0,26,0
Tooro,ounetWmXUdw,Kyenjojo District,Katooke Town Council,Katooke HC III,Baylor Fort Portal_Mubende Region,,DfKqGD39T5k,ounetWmXUdw,Kyenjojo District,Katooke Town Council,Katooke HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,130,75,55,9,3,28,10,25,15,7,12,2,6,2,4,1,1,1,4,130,0,56,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,15,4,10,4,2,4,0,3,2,1,1,0,1,3,4,2,13,6,15,11,5,8,2,3,0,3,0,1,0,1,73,5,0,67,1,0,0,0,1,133,130,0,0,0,0,7,44,0,0,3,1,1,0,5,0
South Central,oviT3cugAEz,Lwengo District,Kisekka Subcounty,Kiwangala HC IV,IDI_Masaka Wakiso Region,,Q39vMcpEKzl,oviT3cugAEz,Lwengo District,Kisekka Subcounty,Kiwangala HC IV,IDI_Masaka_Wakiso Region,87029,CDC,Oct-Dec 2024,,,40,16,24,6,3,1,5,1,,2,5,4,2,2,2,,5,,2,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,5,1,0,2,5,4,2,2,2,0,5,0,2,18,0,0,18,0,0,0,0,14,59,37,0,0,0,3,4,14,0,1,0,9,0,0,26,0
Tooro,OXa6YSwJxEd,Kyenjojo District,Mabira Town Council,Nyankwanzi HC III,Baylor Fort Portal_Mubende Region,,lEzHFUAO5Ct,OXa6YSwJxEd,Kyenjojo District,Mabira Town Council,Nyankwanzi HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,30,0,30,,,,7,,9,,6,,3,,5,,,,,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,6,0,3,0,5,0,0,0,0,7,6,0,1,0,0,0,0,0,31,30,0,0,0,12,0,14,0,0,0,0,2,0,8,0
Lango,OYENvTcFrXW,Oyam District,Iceme Subcounty,Iceme HC III (Iceme Subcounty),UPMB_LSD,,PEOT4jImyia,OYENvTcFrXW,Oyam District,Iceme Subcounty,Iceme HC III (Iceme Subcounty),UPMB_LSD,81995,USAID,Oct-Dec 2024,,,5,5,0,1,,1,,,,1,,1,,,,1,,,,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,5,0,5,0,0,0,0,2,0,0,0,0,0,0,0,2,0
Teso,p0fJEq6m1ew,Soroti City,Soroti East Division,TASO Soroti Special Clinic,AIC_Soroti Region,,t3KC7IQ5qjS,p0fJEq6m1ew,Soroti City,Soroti East Division,TASO Soroti Special Clinic,AIC_Soroti Region,87041,CDC,Oct-Dec 2024,,,1091,440,651,35,34,100,167,80,139,79,94,56,87,37,46,30,34,23,50,1091,0,186,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,19,27,12,20,19,13,9,19,6,8,6,7,5,9,30,32,81,140,68,119,60,81,47,68,31,38,24,27,18,41,257,40,1,205,11,0,0,0,151,955,1090,0,0,0,1,20,238,0,118,10,77,18,17,283,25
West Nile,P1F2OCX6d3t,Zombo District,Paidha Town Council,Paidha HC III,IDI_West Nile Region,,RQUNPK2Na5k,P1F2OCX6d3t,Zombo District,Paidha Town Council,Paidha HC III,IDI_West Nile Region,84981,CDC,Oct-Dec 2024,,,889,469,420,81,73,171,114,104,91,60,45,26,43,16,23,7,12,4,19,889,1,98,790,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,6,16,14,7,17,5,7,3,6,1,2,1,2,0,2,72,67,155,100,97,74,55,37,23,37,15,21,6,10,4,17,487,10,0,471,6,0,13,17,127,937,848,0,0,0,73,21,315,0,0,14,19,6,37,46,50
West Nile,P5GTK5hmugt,Yumbe District,Lodonga Town Council,Lodonga HC IV,UEC,,GnlfXQ3s73W,P5GTK5hmugt,Yumbe District,Lodonga Town Council,Lodonga HC IV,UEC,81974,CDC,Oct-Dec 2024,,,1,1,0,,,1,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Busoga,pAsdJsJETch,Jinja City,Jinja South Division,Mpumudde HC IV,MJAP_East Central Region,,plXq3RjNqHm,pAsdJsJETch,Jinja City,Jinja South Division,Mpumudde HC IV,MJAP_East Central Region,82000,USAID,Oct-Dec 2024,,,2,0,2,,,,1,,1,,,,,,,,,,,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24,5,2,17,0,0,0,0,0,45,2,0,0,0,0,0,1,0,1,0,15,4,0,0,0
Ankole,pCasaBs63nR,Mbarara City,Mbarara North Division,Mbarara Municipal Council HC IV,TASO_Ankole Acholi Region,,VTQYZjpDk4E,pCasaBs63nR,Mbarara City,Mbarara North Division,Mbarara Municipal Council HC IV,TASO_Ankole Acholi Region,81998,USAID,Oct-Dec 2024,,,89,61,28,17,1,30,13,10,9,2,3,2,1,,,,,,1,89,0,10,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,1,1,0,0,0,0,0,0,1,17,1,29,11,7,8,2,2,1,1,0,0,0,0,0,0,87,2,0,80,5,0,4,0,12,227,86,0,0,0,12,53,78,0,0,1,0,0,4,6,0
Tooro,Pf3v59iyqdM,Fort Portal City,Fort Portal Central Division,Mucwa HC III,Baylor Fort Portal_Mubende Region,,vLdUygeunbB,Pf3v59iyqdM,Fort Portal City,Fort Portal Central Division,Mucwa HC III,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,4,1,3,,,,1,1,,,1,,,,1,,,,,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,4,3,0,1,0,0,0,0,0,4,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Tooro,PgnmZSSRbeL,Kitagwenda District,Bukurungo Town Council,Bukurungu HC II,Baylor Fort Portal_Mubende Region,,bWw7ldnLxN1,PgnmZSSRbeL,Kitagwenda District,Bukurungo Town Council,Bukurungu HC II,Baylor_Fort Portal_Mubende Region,87039,CDC,Oct-Dec 2024,,,183,66,117,7,7,16,24,9,16,14,25,5,19,7,6,5,11,3,9,183,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,16,24,9,16,14,25,5,19,7,6,5,11,3,9,3,0,0,3,0,0,0,0,0,184,182,0,0,0,27,0,1,0,180,0,0,0,0,0,0
Kampala,PHhcBpjIWvL,Kampala District,Makindye Division,Alive Medical Services Special Clinic,UPMB,,AW0nP2fFGdm,PHhcBpjIWvL,Kampala District,Makindye Division,Alive Medical Services Special Clinic,UPMB,84980,CDC,Oct-Dec 2024,,,58,33,25,2,1,8,6,6,8,9,4,4,2,3,2,1,1,,1,58,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,6,6,8,9,4,4,2,3,2,1,1,0,1,32,20,1,11,0,0,0,0,68,13,57,0,0,0,0,7,3,0,0,1,2,0,0,30,4
Tooro,PjSakZGVHq5,Kitagwenda District,Kabujogera Town Council,Kicheche HC III,Baylor Fort Portal_Mubende Region,,MmPH1GyR7LR,PjSakZGVHq5,Kitagwenda District,Kabujogera Town Council,Kicheche HC III,,,,Oct-Dec 2024,Site has outputs but not on DAPOTS list,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
West Nile,pMSBcFRbW7W,Arua District,Vurra Subcounty,Vurra HC III,IDI_West Nile Region,,VYsjAhGLLYL,pMSBcFRbW7W,Arua District,Vurra Subcounty,Vurra HC III,IDI_West Nile Region,84981,CDC,Oct-Dec 2024,,,1,1,0,,,,,1,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lango,pNHDdE8BJt8,Lira City,Lira West Division,Amuca SDA HC III,UPMB_LSD,,uTzexpmD2rk,pNHDdE8BJt8,Lira City,Lira West Division,Amuca SDA HC III,UPMB_LSD,81995,USAID,Oct-Dec 2024,,,2,1,1,,,1,,,,,1,,,,,,,,,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
North Central,ptIo7ouXsPw,Kayunga District,Bbaale Subcounty,Bbaale HC IV,WALTER REED_MUWRP,,oWG1PMWA3N1,ptIo7ouXsPw,Kayunga District,Bbaale Subcounty,Bbaale HC IV,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,48,30,18,2,,7,2,5,4,7,4,2,3,2,3,3,1,2,1,48,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,2,5,4,7,4,2,3,2,3,3,1,2,1,37,0,0,37,0,0,0,0,25,49,48,0,0,0,0,3,6,0,15,0,0,1,0,11,0
North Central,PwgfpQbQXTQ,Buikwe District,Najjembe Division,Najjembe HC III,WALTER REED_MUWRP,,rhCpBK0t0si,PwgfpQbQXTQ,Buikwe District,Najjembe Division,Najjembe HC III,WALTER REED_MUWRP,160699,DOD,Oct-Dec 2024,,,231,118,113,20,1,31,11,28,31,13,28,16,17,5,15,3,6,2,4,231,0,6,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2,0,0,20,1,31,10,28,30,13,28,16,16,5,14,3,4,2,4,138,0,0,138,0,0,4,13,230,432,231,0,0,0,0,26,6,0,0,14,406,16,1,6,30
